"","region","year","abundance","simpson","richness","evenness","encs"
"1","central",1980,1.67707640634969,0.553258205335202,101,0.363387348224122,5.34989217420007
"2","central",1981,1.60470500463007,0.534387163150153,102,0.346965283778725,4.97639137377571
"3","central",1982,1.78225324931477,0.587530292737827,100,0.387011375765772,5.94323292814899
"4","central",1983,1.69060785854058,0.566971725853513,101,0.366319330637477,5.4227759841936
"5","central",1984,1.63257812963409,0.541706906804218,99,0.355285211894152,5.11705014587929
"6","central",1985,1.58604390761101,0.525793534842133,101,0.343662511482269,4.88438756743152
"7","central",1986,1.69564122939874,0.572343168720582,108,0.362151581650609,5.45013963473233
"8","central",1987,1.64171736179783,0.559709742378712,111,0.34859471998722,5.1640304099221
"9","central",1988,1.72747067615838,0.588338803979326,109,0.368224808631662,5.62640489579557
"10","central",1989,1.63604649990421,0.553632656749344,107,0.350119073020274,5.13482878410363
"11","central",1990,1.58823085450499,0.541444771191639,108,0.339211093722482,4.89508115254043
"12","central",1991,1.66823604741666,0.563881287396668,111,0.354225575823211,5.30280564469629
"13","central",1992,1.64445856193375,0.550997183929951,125,0.340586517655033,5.17820547024616
"14","central",1993,1.68079080028388,0.567628268927966,124,0.348691415098468,5.36980073246513
"15","central",1994,1.57397067761451,0.532993721291037,124,0.326530858455556,4.82577178584281
"16","central",1995,1.62535516482709,0.553016452385762,123,0.33775829120356,5.08022303333835
"17","central",1996,1.67438612575552,0.566184995475955,125,0.34678486462461,5.33551880596882
"18","central",1997,1.74228044391208,0.590283492780946,122,0.362671276351334,5.71035072036471
"19","central",1998,1.74879879703252,0.589236225831008,124,0.362800133816045,5.74769438015805
"20","central",1999,1.87546930243844,0.633569377135885,123,0.389733469031508,6.52388007484444
"21","central",2000,1.8586420775542,0.630130672835962,123,0.386236673472241,6.41501975493697
"22","central",2001,1.84637233539691,0.623020259881125,125,0.382405211395506,6.33679002733565
"23","central",2002,1.93665775079526,0.652743488902175,134,0.395410595261746,6.93553191429028
"24","central",2003,1.91157396161726,0.649649797042008,133,0.390887012664545,6.76372627038828
"25","central",2004,1.91516774145136,0.647034801950984,132,0.392227203113109,6.78807734345149
"26","central",2005,1.99279687673786,0.672539711113717,133,0.407495829947521,7.33602304816141
"27","central",2006,1.93270220415109,0.650952038417499,132,0.395818268853174,6.90815228070928
"28","central",2007,1.95621606000448,0.65810820371847,132,0.400633916963866,7.07251439828717
"29","central",2008,1.93234762592678,0.651485418041472,132,0.395745651075527,6.90570323455522
"30","central",2009,2.01453453644303,0.673683248331432,136,0.410070437126014,7.49723687837022
"31","central",2010,1.95711551068842,0.653669021482644,139,0.396620903709329,7.07887863793071
"32","central",2011,2.04744595760649,0.677022123734194,137,0.416149165712846,7.74808687154138
"33","central",2012,1.96045710969293,0.653485943926478,141,0.396151187998559,7.10257297818402
"34","central",2013,1.99141576108001,0.664424078451286,144,0.400702328445599,7.32589814530358
"35","central",2014,2.00501374027064,0.661114115102972,142,0.404577019530039,7.42619593399877
"36","central",2015,1.91932248102008,0.619251238897222,150,0.383049726904193,6.81633870563207
"37","central",2016,1.9700232668724,0.646247173435243,147,0.394760019821053,7.17084332950242
"38","central_west",1980,1.6040173830155,0.62254942858436,92,0.35473073446134,4.97297067571232
"39","central_west",1981,1.62173702419832,0.625837034944698,90,0.36040124872199,5.06187528436196
"40","central_west",1982,1.88428464327006,0.684615874838324,94,0.41473968420966,6.58164453387227
"41","central_west",1983,1.63750949785046,0.633927430973082,92,0.362137563476953,5.14234652594866
"42","central_west",1984,1.79084446404905,0.678496190144679,97,0.391466143427256,5.9945124798635
"43","central_west",1985,1.78062721866942,0.686936264353179,96,0.390116429328936,5.93357690190018
"44","central_west",1986,1.74396500776907,0.675989375651545,90,0.38756417171775,5.71997827763978
"45","central_west",1987,1.7516995668923,0.678145249435008,96,0.383778689401208,5.76439132406705
"46","central_west",1988,1.70141136390391,0.65923719717586,95,0.373618216830171,5.48167857796306
"47","central_west",1989,1.74891707690042,0.676976522218978,90,0.388664678071163,5.7483742568971
"48","central_west",1990,1.68989855181596,0.650660614013685,88,0.377433867908126,5.4189309365422
