"id","year","area","indexS","indexS2"
24,2008,77017.34,28.6567160877699,5.29834116653354
24,2007,75208.62,32.9566860399869,6.12967229871658
24,2011,61550.76,28.1251818428907,5.49980905193615
24,2005,74708.34,27.8846719057159,5.19498017569605
25,2014,131541.17,21.4332432097261,3.46643526563289
25,2016,109305.56,31.6289561934983,5.35778057940076
25,2009,96160.33,32.2670753741649,5.64379518462145
25,2012,119683.79,29.8401059745854,4.94142439752061
25,2007,132638.15,26.421920663646,4.26439963578253
25,2015,118109,35.140383947477,5.838434086624
25,2005,113848.4,29.7150470861094,4.9825918952486
25,2010,131148.91,27.2220347762922,4.40595483025783
25,2011,83950.4,33.5156911719004,6.06461331240336
25,2008,137122.97,26.8742750008353,4.3014990515619
25,2013,107175.5,38.4645693768239,6.54783342457599
25,2003,113204.52,27.2013854340987,4.56757523681688
25,2006,122533.32,27.7297520811715,4.56502398764316
25,2004,131925.43,28.48253403055,4.6031711505508
26,2009,121305.71,15.645489514161,2.58213813771812
26,2014,136453.42,14.5979637805265,2.33941248251402
26,2006,151940.4,17.6367298023422,2.75144206415876
26,2007,140434.51,18.4379187008491,2.93362138110972
26,2004,126925.66,22.2831123227518,3.63621135942745
26,2015,136421,14.4495548320309,2.31576660901503
26,2003,144382.45,19.6988089756692,3.11259054847247
26,2011,99514.48,14.5303781530295,2.51979943847668
26,2008,150533.29,20.1133904877134,3.14512401112966
26,2010,141913.93,19.0462900612643,3.0224892481678
26,2012,131216.74,18.4298891474429,2.98253836940362
26,2005,105738.02,20.5040199426699,3.50220730455244
26,2016,128196.74,12.5050172800781,2.03552142633891
26,2013,136241.59,15.3495947380111,2.46082151497455
27,2013,150053.84,21.2128885627785,3.31969863130519
27,2014,151295.09,20.4161310021212,3.18843716420922
27,2016,135905.8,23.5120113849531,3.77173275093168
27,2015,126395,23.6238894292687,3.8590424425937
27,2010,137522.54,20.7170387282249,3.31355996233502
27,2007,147620.45,18.5257372208763,2.91104886528985
27,2008,150353.35,19.656203848305,3.07455309630847
27,2003,177783.51,18.0796027013428,2.71191854485985
27,2011,125980.23,16.7001301637858,2.73026551851932
27,2009,135946.17,16.4064651083198,2.63168498373003
27,2004,174289.5,18.6162540366576,2.80630660247841
27,2012,135804,21.6849315917998,3.47928931479508
27,2006,142578.07,18.0252251055642,2.85711776472881
27,2005,133112.9,15.5685095883176,2.51045608982196
28,2014,93446.87,19.9664770344902,3.51739288294856
28,2010,100102.65,23.0164222852882,3.98553888521578
28,2011,93387.97,21.4979366250298,3.78777934819844
28,2007,99724.19,22.1024023220499,3.83089261181052
28,2013,99469.88,20.9012364292408,3.6250141551187
28,2009,77596.08,19.6130963472761,3.61948552043663
28,2015,93126,20.0107408977493,3.52822325979533
28,2016,84955.75,16.2174186183755,2.92579679641443
28,2003,111774.45,20.8133019932686,3.50603282392238
28,2006,103808.25,18.8872570936474,3.24094418613226
28,2005,98511.36,18.5263907126012,3.22091947661278
28,2008,104043.55,22.3038234429376,3.82504153511884
28,2012,94452.84,21.5936064377877,3.79386658014757
28,2004,117108.87,21.4878651406683,3.5777208293619
29,2015,157052,12.4185986644808,1.92142019759598
29,2016,164545.76,8.71454509412726,1.33270391928326
29,2014,174599.93,9.76685513901623,1.47164939897578
29,2007,170867.4,15.1189295135685,2.29042917447317
29,2011,147521.17,20.5018719267084,3.22211143746989
29,2004,183919.04,13.734214297159,2.04271498111126
29,2006,183056.34,14.627446284516,2.17812573128363
29,2013,176360.39,21.1575359351613,3.17998778595213
29,2008,177922.98,17.1922338152963,2.57830876698837
29,2012,171929.51,19.5128503996557,2.95150644523553
29,2005,156982.56,12.5972311366231,1.94927392579205
29,2010,177762.88,14.6875958846073,2.20318554087872
29,2009,158700.91,20.9056788854472,3.22611651490761
29,2003,184702.71,14.5486342196234,2.16154626517875
30,2016,217989.07,27.0380823408788,3.85414308695059
30,2015,208346,28.769006259886,4.14752675590472
30,2013,214673.74,27.6009434749904,3.9494791404905
30,2014,209440.66,25.5095135083828,3.67280232076147
30,2004,202617.61,30.7344580773649,4.46186976910352
30,2010,172967.67,35.7073069404923,5.39295119854971
30,2012,201752.41,31.7319622115581,4.61161319333697
30,2008,207038.75,27.1534825345683,3.9207870538311
30,2003,195325.84,31.5664556508627,4.62483798449927
30,2006,201316.51,25.0934807860918,3.64881367442491
30,2011,144877.61,36.2328309146222,5.72021794959072
30,2005,178891.36,33.2709972616352,4.98286480989078
30,2007,203517.86,33.2087264136914,4.8157309554705
30,2009,155626.78,32.4423865896348,5.03097708882982
31,2004,136370.45,23.960115452163,3.84033813872614
31,2012,128956.98,22.515381653299,3.65955877703136
31,2005,122343.3,22.326393224358,3.67691973172746
31,2009,127096.97,23.0804821598197,3.76505829850167
31,2014,139068.85,20.335054921044,3.24338505491157
