"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-1145.68563300142,149.063514624225,-7.68588903790168,5.08973012047326e-09
"2","year",0.61593172119488,0.0746052984284459,8.25587101947754,9.9023873989402e-10
