"","region","year","abundance","simpson","richness","evenness","encs"
"1","central",2003,1.91157396161726,0.649649797042008,133,0.390887012664545,6.76372627038828
"2","central",2004,1.91516774145136,0.647034801950984,132,0.392227203113109,6.78807734345149
"3","central",2005,1.99279687673786,0.672539711113717,133,0.407495829947521,7.33602304816141
"4","central",2006,1.93270220415109,0.650952038417499,132,0.395818268853174,6.90815228070928
"5","central",2007,1.95621606000448,0.65810820371847,132,0.400633916963866,7.07251439828717
"6","central",2008,1.93234762592678,0.651485418041472,132,0.395745651075527,6.90570323455522
"7","central",2009,2.01453453644303,0.673683248331432,136,0.410070437126014,7.49723687837022
"8","central",2010,1.95711551068842,0.653669021482644,139,0.396620903709329,7.07887863793071
"9","central",2011,2.04744595760649,0.677022123734194,137,0.416149165712846,7.74808687154138
"10","central",2012,1.96045710969293,0.653485943926478,141,0.396151187998559,7.10257297818402
"11","central",2013,1.99141576108001,0.664424078451286,144,0.400702328445599,7.32589814530358
"12","central",2014,2.00501374027064,0.661114115102972,142,0.404577019530039,7.42619593399877
"13","central",2015,1.91932248102008,0.619251238897222,150,0.383049726904193,6.81633870563207
"14","central",2016,1.9700232668724,0.646247173435243,147,0.394760019821053,7.17084332950242
"15","central_west",2003,1.89397109411011,0.678189642223727,107,0.405315743675898,6.64570707854044
"16","central_west",2004,1.9288753332232,0.682211316540938,108,0.411965243957488,6.88176619385703
"17","central_west",2005,2.00920202113875,0.698456621207265,102,0.434424612263176,7.45736415341859
"18","central_west",2006,1.97209295317098,0.690180260253666,106,0.422883823155511,7.18570009480919
"19","central_west",2007,1.90641723451379,0.666167730590167,111,0.404799874514565,6.72893735537149
"20","central_west",2008,1.91909290756723,0.6788411776201,110,0.408275911869213,6.81477403482994
"21","central_west",2009,2.0707969777789,0.716678911850029,112,0.438867748888647,7.93114154326399
"22","central_west",2010,1.95628128147366,0.676365195676434,114,0.413048841341692,7.07297569311009
"23","central_west",2011,2.089517525326,0.71743624657623,114,0.441180315414004,8.08101533835611
"24","central_west",2012,1.96387609468708,0.686869131334883,110,0.417803275805409,7.12689812858275
"25","central_west",2013,1.94631550134678,0.681293265532804,110,0.414067361181002,7.00283804120463
"26","central_west",2014,2.04046659365382,0.70207928857951,106,0.437545457863932,7.69419842561531
"27","central_west",2015,2.01115582777644,0.691144644207752,117,0.422318851707765,7.4719486439989
"28","central_west",2016,1.95823547889562,0.646659597057995,112,0.41501238684373,7.08681119822633
"29","north_east",2003,1.92084502625965,0.775729860463448,89,0.427935093876689,6.82672479431816
"30","north_east",2004,1.99212460370174,0.785070743774246,91,0.441628607768367,7.33109289506393
"31","north_east",2005,2.10811318950606,0.803235643935203,91,0.467341797380401,8.23269308927601
"32","north_east",2006,2.02106473933268,0.789701155716485,92,0.446961352768874,7.5463555592241
"33","north_east",2007,2.04875591204595,0.793471921294894,94,0.450940564112443,7.75824316302333
"34","north_east",2008,2.06664441406948,0.799433399875313,90,0.459273739441917,7.89827525961381
"35","north_east",2009,2.14691439454158,0.810091819356174,89,0.47829991509642,8.55840973729721
"36","north_east",2010,2.10575739676747,0.805234019376323,87,0.471518298366126,8.21332139748179
"37","north_east",2011,2.24089692487951,0.81779215066616,88,0.500497732856104,9.40176017945239
"38","north_east",2012,2.05191606369129,0.795341295797023,88,0.458289413710419,7.78279916783357
"39","north_east",2013,2.04337367056994,0.793381897600891,92,0.451895004764566,7.71659859598002
"40","north_east",2014,2.059711413728,0.799159905479569,93,0.45442166616294,7.84370589782341
"41","north_east",2015,2.09375084195132,0.802539842360446,101,0.453671975479494,8.11529734703888
"42","north_east",2016,2.12719353964366,0.807439829378695,96,0.466045413367026,8.39128392902094
"43","north_west",2003,2.51965123810019,0.865840631679145,114,0.531998662124117,12.4242627983806
"44","north_west",2004,2.50710754236819,0.849293701691416,114,0.52935018869787,12.2693899954924
"45","north_west",2005,2.51296781218311,0.848709831592425,119,0.525821903494484,12.3415030258581
"46","north_west",2006,2.46806592097202,0.846471770996417,118,0.517339986867913,11.7996034027697
"47","north_west",2007,2.38906866580142,0.829969874329372,119,0.499896826111514,10.9033345645295
"48","north_west",2008,2.38661927851459,0.832098464645146,119,0.499384308012669,10.8766607560426
"49","north_west",2009,2.35843101421719,0.827572661225369,120,0.492623515805103,10.5743474293228
"50","north_west",2010,2.40929706500625,0.838131088664152,124,0.499824965038911,11.126137444256
"51","north_west",2011,2.41218772748809,0.83938979267504,123,0.501266690831384,11.1583458817673
"52","north_west",2012,2.58372849826659,0.872999133556423,124,0.536011945174053,13.2464355118469
"53","north_west",2013,2.50600213752637,0.854850448870966,129,0.515658204270855,12.2558348457296
"54","north_west",2014,2.483462045009,0.857257488996178,118,0.520567222631522,11.9826772579225
"55","north_west",2015,2.35990566346158,0.822440482673873,125,0.488763943657919,10.5899523858602
"56","north_west",2016,2.42196502598283,0.828932019561867,118,0.507676615964548,11.2679794468341
"57","south",2003,1.57434321343624,0.587255604401285,92,0.348168249490264,4.82756989360953
"58","south",2004,1.64500231213861,0.613181601056741,94,0.362072546680913,5.18102188617538
"59","south",2005,1.68962494097292,0.631177020746913,91,0.374568292036566,5.41744846110023
"60","south",2006,1.64677673472985,0.614628373010706,90,0.365965864198204,5.19022336970177
"61","south",2007,1.71830511057668,0.643953067200474,92,0.380005628590901,5.57507132271623
"62","south",2008,1.74924261123431,0.651222121730219,94,0.38501631416492,5.75024585469995
"63","south",2009,1.76291664521489,0.653048702249341,94,0.388026031701617,5.82941495884645
"64","south",2010,1.67731049275853,0.624287174608995,93,0.370054864828054,5.35114465783582
