"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-39.4354644448115,14.5201073046864,-2.71592100645728,0.010708719012775
"2","year",0.0200974746102895,0.00732968682558614,2.74192814625232,0.0100517116164328
"3","U1.year",-0.0238536490785046,0.00736984976561963,-3.23665336975822,0.00287671309094515
"4","U2.year",0.0054158026068696,0.00085373713056436,6.34364186935327,4.63304289033255e-07
"5","psi1.year",0,0.4715606904467,0,1
"6","psi2.year",0,1.34633068544865,0,1
