"","region","crop_group","FAO_crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"62","central","Oils","Safflower seed",2411,164,NA,226,2894,1463,597,41,4,NA,390,30,NA,NA,NA,20,30,NA,310,670,1500,660,760,960,520,80,2570,410,NA,350,207,NA,NA,NA,460,621,NA
"63","central","Oils","Sesame seed",61017,45561,23578,26985,27645,27188,15805,17872,18591,16541,14502,13210,9724,9642,5896,8641,15524,3206,5569,5214,6232.5,6477,6402.2,6506.5,6695.5,6477.5,6617.5,6490.5,7550,7878,18423.7,16614.25,12558.25,10764.98,18317.75,17686,19640.48
"64","central","Oils","Soybeans",2076,3567,2133,7505,6661,4825,3615,2031,2708,6486,765,1115,845,1618,2549,4461,3632,3307,2938,4247,4012,4498,2409,4914,6997,6700,2800,1500,3011,1258,8876.67,9962,10251,7543,16030,10056,13800
"65","central","Oils","Sunflower seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.11
"66","central","Pulses","Beans, dry",201358,216360,166574,185774,150191,150001,146555,133959,150565,148424,209426,193527,167887,164936,173213,171799,188290,165420,187214.1,154923.98,170070.64,186544.25,179540.7,190678.35,172071.17,169942.23,196933.12,185253.73,184404.33,132746.64,168168.32,135564.62,164100.46,168053.73,155027.09,152709,145717.55
"67","central","Pulses","Broad beans, horse beans, dry",38594,44370,39102,25094,33230,32582,31345,28326,24193,24176,24143,27136,28004,27606,27024,28251,25840.2,27256,23143,24190,31311.7,31567.7,34949.71,31515.55,27421.67,27632.19,27921.45,30636.95,29287.92,27265.1,28881.68,23809.37,32940.3,34577.7,39286.35,38755,35725.85
"68","central","Pulses","Chick peas",552,469,434,NA,273,660,486,709,417,13,8,375,463,621,577,594,514,276,479,608,625.5,771,916,688,748,744,683,1267,619,646,577,481,572,554,582.5,603,569.98
"69","central","Pulses","Lentils",53,49,42,30,57,79,138,90,81,93,47,83,45,25,23,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","central","Pulses","Peas, dry",9769,5392,2655,1871,4511,2290,2811,3175,3164,2146,2991,3249,3350,2816,2382,2184,2508,2292,1695,2405.76,2822.5,3566.5,3033.05,3813.5,2483,1687.5,3323,3496.25,1716,2319,1942.5,1224,2414,1865.5,2265.6,2206,1826.65
"71","central","Roots and tubers","Cassava",90,5,NA,20,11,96,106,99,139,149,138,49,144,138,172,117,134,98,134,201,81.5,175,148.2,198.3,192.9,172.4,239.2,243.2,205.1,86.5,177,158,175.31,157,161.74,148,185.91
"72","central","Roots and tubers","Potatoes",59477,45421,41942,45263,42570,45204,38753,38758,37257,37706,42603,34934,30109,27757,24241,25975,23844,24193,22716,21085.9,20788.52,18920.7,17628.75,16009.81,14245.55,14666.7,16455.75,16019.8,14646.25,13671,14238.75,15645.7,21824.04,19504.01,21825,21367,21691.66
"73","central","Roots and tubers","Roots and tubers, nes",2756,1820,1956,1962,2294,713,1773,1419,1425,1805,1488,1430,1288,1666,1772,1175,1630,1780,1804,2127,2600,2270.49,2249.8,3240.8,2484.52,3185.05,2496.7,2752.3,3891.6,2376.3,3627.87,3302.9,4945,3446.7,3212.63,3027,3142.56
"74","central","Roots and tubers","Sweet potatoes",512,218,664,632,865,577,489,347,402,465,545,521,452,391,245,286,357,322,308,380,424,378.5,506,334.5,392.5,595.5,694.7,650,480,555.5,516,648,702.9,748.9,780.3,856,929.27
"75","central","Roots and tubers","Taro (cocoyam)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,36,NA,2.5,NA,NA,NA,247.45,340,438,283,209.25,244,340
"76","central","Sugar crops and sweetners","Sugar cane",NA,202,NA,NA,NA,134,167,130,123,185,106,70,81,160,99,275,5581,3769,4124,287214,284159.03,267312.71,278568.75,284528.69,286628.75,294972.68,284284.34,293591.66,295468.18,282518.11,306513.68,305872.15,316638.91,333010.21,312352.79,10746,327567.5
"77","central","Sugar crops and sweetners","Sugar crops, nes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
"78","central","Vegetables","Artichokes",NA,NA,4,NA,NA,9,23,44,64,40,53,33,96,38,6,21,11,22,24,24,104,201,155.5,179.5,120,159,131,124,107,99,80,104,77,103,92,75,72.5
"79","central","Vegetables","Asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"80","central","Vegetables","Beans, green",4091,2690,2758,2224,2744,2458,2885,3116,2777,3893,3321,3737,3304,3367,2827,4055,4061,4512,3558,3381.16,4974,6186,7041.2,6624.1,6205.69,6119.8,6358.2,6075.85,5988.8,5858.7,5662.66,5009.67,5659.35,6007.6,6534.6,6175,6677.6
"81","central","Vegetables","Cabbages and other brassicas",511,485,1213,735,1155,1093,1887,2059,2049,1880,2517,2006,2053,2651,2193,1838,1760,2909,3086.5,3572,2382.5,3542.6,3067.4,2547.9,2432.5,2433.5,2378.5,2241.5,2274.2,2130.4,2246.42,2551.99,2550.75,2256.5,2059,2449,2564.06
"82","central","Vegetables","Carrots and turnips",879,849,2142,1289,2366,1631,2395,2184,2714,2507,2792,3014,3456,3815,2603,2647,2831,4333,5238,5212.5,5398,5940,5401.5,4822.5,4958.85,5787.5,6026,5715.5,5942,5620,5795.58,5867,5509.5,4751.5,5140.7,5353,5300.26
"83","central","Vegetables","Cauliflowers and broccoli",127,92,220,19,86,536,398,480,819,865,1035,824,768,820,823,767,822,1159,1772.5,3553.1,2951.5,3045.4,2551,2996.5,2962.5,3957.6,3432.5,3650.3,3959.5,4646.95,4546,4339.67,4176,3968,4744.16,5059,5288.33
"84","central","Vegetables","Chillies and peppers, green",14920,11790,14233,11701,10070,16986,13245,11779,19022,17930,12105,11589,15640,15061,12838,11207,10991,10031,10525,10585.17,11253,10994.8,9777.5,9941.5,10109.7,9751.9,11583.4,11517.86,11333.2,10884.6,10853.6,11879.79,11680.1,10864.45,11118.6,11702,11820.14
"85","central","Vegetables","Cucumbers and gherkins",1988,1775,1760,1731,1826,1614,1668,2019,2472,2581,3074,3620,4175,3606,3292,3049,2756,2453,2286,2710.5,2613.8,3534.56,3306.9,3207.36,3133.2,3007.05,3467.55,3182.25,2690.75,2363.9,2800.7,2541.25,2714.7,2728.6,2713.2,2662,2726.05
"86","central","Vegetables","Eggplants (aubergines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,54,19,26,20,99,33,4,30,31,6.5,21.5,22,21.3,22.5,18,13,5,13.5,10,6,7.5,10,13,13.5
"87","central","Vegetables","Garlic",1317,1108,804,522,525,626,574,464,744,346,439,700,851,621,632,626,634,708,865,1146,613,676,627,652,675.75,556,731,656,619,666,632,581,610,681.4,989,897,916.56
"88","central","Vegetables","Leeks, other alliaceous vegetables",NA,NA,NA,NA,NA,4,1,44,19,18,27,25,45,97,80,107,73,156,162,179,139,166,135,168.75,144,141,158,145,148,163,143.5,147.5,133,135,155.5,152,173.5
"89","central","Vegetables","Lettuce and chicory",781,703,1400,772,1228,1072,2152,2065,2261,1486,1378,2583,2736,2858,2549,2320,2250,3262,3583,3862,2741,3552.86,3540.5,3432.3,3204.9,3578.5,3625.2,3579.4,3590.5,3984,3391.67,4046.96,4406.3,4202.25,4409.5,5086,5036.63
"90","central","Vegetables","Mushrooms and truffles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,5,5.81,13.1,23.1,23.2,22.15,24,19.07
"91","central","Vegetables","Okra",754,564,849,271,496,743,842,596,706,296,310,800,795,746,448,620,909,507,685,702,715,783,521.4,531.7,630.4,401.6,586.4,484,516,238,684,608,494,462.5,462.71,442,444.02
"92","central","Vegetables","Onions, shallots, green",6534,4412,6582,6598,7352,7134,8096,6507,8581,8385,8946,10093,7191,8149,8472,7088,7352.5,6410,6836,9380,9220,10031.5,9615.7,8080.5,9103.45,8563,7302.35,7152.4,7677.85,7199.9,7258,7212.85,7326.5,8377.5,8035.03,8344,8954.98
"93","central","Vegetables","Peas, green",12773,13743,7999,7140,6282,7852,7242,7239,6668,7326,6768,7150,8359,5652,5882,6923,9057,8476,7785,8226,8128.5,8149.15,7911.5,8479,9350.75,9529.5,12255.5,9136.5,8817.5,8570.2,8732.66,8063.11,10398.5,9952.5,11435.3,10721,9913.16
"94","central","Vegetables","Pumpkins, squash and gourds",11090,7624,11601,11771,7810,5547,8550,7557,8854,10789,8942,10085,10403,10218,10207,10469,9500,8652,11199,13400.35,14387.59,14935.48,17995.35,16133.5,16478.29,17033.05,19571.37,18714.67,18705.2,17314.6,19041.25,20570.61,20091.5,22491.35,23550.58,23947,25385.53
"95","central","Vegetables","Spinach",224,253,602,383,859,496,766,981,943,660,575,926,559,814,848,875,937,922,1005,1206,1263,1466.78,1077,828.4,730.4,748.5,732.5,712.5,736,758.5,761.38,1277.01,1210.2,1070.29,965.04,1086,1106.7
"96","central","Vegetables","Tomatoes",23372,16978,22825,21475,21328,23612,21934,20351,22582,23800,22316,27230,26141,25203,23037,24482,25745,25059,26356,24408.85,24408.75,24057.8,24155,22683.76,21592.93,22566.78,24490.92,24995.28,23409.55,23085.37,21799.09,21446.75,21333.29,20256.79,20796.62,21100,21000.86
