"id","year","area","indexS","indexS2"
1,2006,5464,1.71207688379061,0.61334696161924
1,2003,10396,1.41856019668481,0.432704916200509
1,2005,6443,1.73609473285852,0.596845623975854
1,2004,5858,1.86272424126756,0.65580066388475
1,2011,739,5.61431229632067,3.3166228185185
1,2007,4339,1.7035571076778,0.646502057937149
1,2008,7934,1.32778292217744,0.433325909093325
1,2013,7284,1.49310499975742,0.497804127047556
1,2012,4100,1.84042456985413,0.70840674185529
1,2014,6564,1.49413064511095,0.511277943423449
1,2010,1053,5.31188889580868,2.87211957711739
1,2015,6182,1.52863702194299,0.53098560887006
1,2009,744,6.63871431998081,3.9151767570904
1,2016,6476,1.60116026593144,0.549754409604966
10,2012,4553,2.49343575639065,0.934941414439296
10,2009,2008,2.7190727245998,1.25109567764425
10,2011,555,4.69772300934893,2.98108793983855
10,2010,1822,1.83050350254971,0.862966820912565
10,2013,10495,1.69096479694418,0.514576066747725
10,2004,10252,1.9001989483554,0.581644400355835
10,2015,8866,1.68540366197172,0.534973942366809
10,2003,11840,1.92593642822718,0.568675672002205
10,2006,9789,1.8018007906678,0.557933987998661
10,2007,7642,1.76973261475926,0.582997273478029
10,2005,8182,1.52030082120392,0.492351526391837
10,2014,11290,1.61825251920524,0.483541144010191
10,2008,12687,1.41433341076611,0.410461750750788
10,2016,10456,1.70584450555414,0.51958747635012
11,2010,667,10.3575768863642,6.27750886541175
11,2003,2958,3.16554320015745,1.32208485321382
11,2014,1382,5.47362809945777,2.76508765296256
11,2013,1430,3.7063687410055,1.85641574174509
11,2012,1216,5.24071054907354,2.73348948344297
11,2008,1262,5.89196028234458,3.04477776353814
11,2015,1263,4.84328251714705,2.50235886713549
11,2004,2256,2.38637699941765,1.06650994140301
11,2007,748,11.7780397440216,6.93678514800486
11,2011,725,11.6569825464062,6.91930177202576
11,2005,854,14.1362226701814,8.05433218274888
11,2016,1421,5.71105617888547,2.8650258194595
11,2006,1352,7.63376070160785,3.87752847956017
11,2009,703,11.0007568169171,6.58027979585416
2,2012,7456,6.02025090327692,1.99548627045243
2,2006,17039,2.83539940588827,0.764387973837171
2,2010,13161,3.58171916684441,1.02998271389346
2,2013,12595,4.33738055929982,1.26106831215728
2,2005,8730,3.54236669244131,1.12875732625782
2,2003,18255,2.59958394178742,0.688841039762473
2,2014,12080,4.60183132996995,1.35199345845666
2,2008,16984,2.58971133815406,0.698718094615286
2,2016,13099,4.58004388982481,1.31862325806413
2,2011,3964,13.9724664099805,5.42375783048632
2,2007,4581,12.287786495097,4.60038534340415
2,2015,12717,4.48962027469892,1.3021891430804
2,2009,4740,13.6959646536873,5.08403660087879
2,2004,18766,2.42382787509912,0.637851344226451
3,2016,8013.2,1.59705146625657,0.51990984777778
3,2009,7478,1.23073031283212,0.407640344119374
3,2010,7570,1.25989249836646,0.416025688070214
3,2012,7571,1.45900809970363,0.481759201905163
3,2003,8958,1.62194256277946,0.513503411815132
3,2008,8362,1.53071388625864,0.493034271323368
3,2014,7747.2,1.52130065695737,0.499447091325007
3,2006,8610,1.53227945753263,0.48994555144252
3,2007,7674,1.47821217338291,0.486454195187639
3,2005,7954,1.3456504384916,0.438880705053954
3,2015,7799,1.536234334707,0.503510306408503
3,2013,8150.5,1.64887542206023,0.53450578371871
3,2004,8649,1.54013655490754,0.491901766268043
3,2011,6900,1.20833190149006,0.408351914667053
4,2013,3699,4.39735148502919,1.73672367715061
4,2006,2791,6.29553112132123,2.66779861899862
4,2005,1931,6.75665425421072,3.13940073098616
4,2007,2835,6.63619759907986,2.80118421657992
4,2010,2234,4.85779806690871,2.17635277184261
4,2008,4602,3.46781273578974,1.29681973511316
4,2014,3063,4.83300974074645,2.00097447460549
4,2003,4133,3.72493609029853,1.43091258015833
4,2009,2161,5.02050810121602,2.26800813431843
4,2016,3268,4.61105220073433,1.87840897315779
4,2004,3842,2.86550552680315,1.12104368779937
4,2011,2212,4.89395215414375,2.19798166761717
4,2012,2133,4.22043199769948,1.91280113378271
4,2015,2854,4.28267165249505,1.80472865491426
5,2003,2081,2.00209661245679,0.913014422839196
5,2008,1383,3.1284423777411,1.58009515902911
5,2005,678,5.92941722776875,3.57902897836443
5,2014,1572,4.80745167616024,2.35159441133248
5,2009,581,5.46577826713515,3.42900883220635
5,2007,1145,3.93518032147199,2.08364579290693
5,2015,1611,4.71149262320527,2.29057891001712
5,2011,648,5.53000052678713,3.37591923879136
5,2012,729,4.87162775348569,2.88770510913259
5,2013,1598,4.31564893494764,2.10238641939525
5,2004,2332,1.96502131515866,0.8709550797828
